WQP names,LAGOS names
CharacteristicName,lagos_variablename
ResultMeasure.MeasureUnitCode,
DetectionQuantitationLimitMeasure.MeasureUnitCode,
Method_Id,
ResultAnalyticalMethod.MethodName,
USGSPCode,
OrganizationIdentifier,organization_id
OrganizationFormalName,organization_name
ActivityIdentifier,source_activityid
ActivityTypeCode,
ActivityStartDate,
ActivityStartTime.Time,
ActivityDepthHeightMeasure.MeasureValue,
ActivityDepthHeightMeasure.MeasureUnitCode,
ActivityDepthAltitudeReferencePointText,
ActivityTopDepthHeightMeasure.MeasureValue,
ActivityTopDepthHeightMeasure.MeasureUnitCode,
ActivityBottomDepthHeightMeasure.MeasureValue,
ActivityBottomDepthHeightMeasure.MeasureUnitCode,
ProjectIdentifier,
ActivityConductingOrganizationText,
MonitoringLocationIdentifier,
ActivityCommentText,
SampleCollectionMethod.MethodIdentifier,
SampleCollectionMethod.MethodIdentifierContext,
SampleCollectionMethod.MethodName,
SampleCollectionEquipmentName,
ResultDetectionConditionText,
ResultSampleFractionText,
ResultMeasureValue,
MeasureQualifierCode,
ResultStatusIdentifier,
StatisticalBaseCode,
ResultValueTypeName,
ResultWeightBasisText,
ResultTemperatureBasisText,
PrecisionValue,
ResultCommentText,
ResultDepthHeightMeasure.MeasureValue,
ResultDepthHeightMeasure.MeasureUnitCode,
ResultDepthAltitudeReferencePointText,
MethodDescriptionText,
ResultLaboratoryCommentText,
DetectionQuantitationLimitTypeName,
DetectionQuantitationLimitMeasure.MeasureValue,detectionlimit_value
ProviderName,
Obs_Id,Obs_Id
State,
Id_num,
wqp_monitoringlocationname,
wqp_providername,
lagoslakeid,
source_parameter,source_parameter
source_value,source_value
source_unit,source_unit
detectionlimit_legacy,source_detectionlimit_value
detectionlimit_unit_legacy,source_detectionlimit_unit
Conversion,datavalue_conversion
Conversion_dl,detectionlimitvalue_conversion
Notes,lagos_comments
,
,
Missing from Noah's list,
sample date,
lagos_variableid,
datavalue,
datavalue_unit,
sampledepth_m_lagos,
sampleposition_lagos,
sampletype_lagos,
source_comments,
source_labmethoddescription,
source_labmethodid,
source_labmethod_name,
sampledepth_m_legacy,
sampleposition_legacy,
source_samplesiteid,
sampletype_legacy,
source_methodqualifier,
