CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode
"Depth, Secchi disk depth",m,m,1119USBR_WQX 10,"Depth, Secchi disk depth",NA
"Depth, Secchi disk depth",m,NA,NA NA,NA,78
"Depth, Secchi disk depth",m,NA,NA NA,NA,NA
"Depth, Secchi disk depth",m,NA,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,NA
"Depth, Secchi disk depth",m,NA,UTAHDWQ_WQX FIELD MEASURES,Field Measurements performed by Utah DWQ,NA
"Depth, Secchi disk depth",m,m,1119USBR_WQX 20,Zebra/Quagga Mussel APHA 10200G Modified,NA
"Depth, Secchi disk depth",m,NA,R10BUNKER LIM-USGS,LIM-USGS,NA
"Depth, Secchi disk depth",m,NA,21DELAWQ_WQX EPA/620/R-01/003-SD,EPA/620/R-01/003 Secchi Depth,NA
"Depth, Secchi disk depth",in,NA,21DELAWQ_WQX EPA/620/R-01/003-SD,EPA/620/R-01/003 Secchi Depth,NA
"Depth, Secchi disk depth",m,NA,MDDNR obs24,eventSecchi,NA
"Depth, Secchi disk depth",NA,m,NA NA,NA,78
"Depth, Secchi disk depth (choice list)",NA,m,NA NA,NA,NA
